Time,Channel A
(ms),(V)

-1.48095866,0.01788385
-1.48063866,0.01788385
-1.48031866,0.00006104
-1.47999866,0.01788385
-1.47967866,0.03570665
-1.47935866,0.01788385
-1.47903866,0.00006104
-1.47871866,0.01788385
-1.47839866,0.03570665
-1.47807866,0.00006104
-1.47775866,0.01788385
-1.47743866,0.00006104
-1.47711866,-0.01770074
-1.47679866,0.01788385
-1.47647866,0.01788385
-1.47615866,0.00006104
-1.47583866,0.01788385
-1.47551866,0.03570665
-1.47519866,0.01788385
-1.47487866,0.01788385
-1.47455866,0.00006104
-1.47423866,0.00006104
-1.47391866,0.01788385
-1.47359866,0.01788385
-1.47327866,0.00006104
-1.47295866,0.01788385
-1.47263866,0.01788385
-1.47231866,0.00006104
-1.47199866,0.00006104
-1.47167866,0.00006104
-1.47135866,0.00006104
-1.47103866,0.01788385
-1.47071866,0.00006104
-1.47039866,-0.01770074
-1.47007866,0.00006104
-1.46975866,0.00006104
-1.46943866,0.00006104
-1.46911866,0.00006104
-1.46879866,0.00006104
-1.46847866,0.01788385
-1.46815866,0.01788385
-1.46783866,0.00006104
-1.46751866,0.00006104
-1.46719866,0.01788385
-1.46687866,0.01788385
-1.46655866,0.01788385
-1.46623866,0.00006104
-1.46591866,0.00006104
-1.46559866,0.01788385
-1.46527866,0.00006104
-1.46495866,0.00006104
-1.46463866,0.00006104
-1.46431866,0.00006104
-1.46399866,0.00006104
-1.46367866,0.00006104
-1.46335866,0.00006104
-1.46303866,0.00006104
-1.46271866,0.01788385
-1.46239866,0.00006104
-1.46207866,0.00006104
-1.46175866,0.00006104
-1.46143866,0.00006104
-1.46111866,0.00006104
-1.46079866,0.00006104
-1.46047866,0.00006104
-1.46015866,0.00006104
-1.45983866,0.00006104
-1.45951866,-0.01770074
-1.45919866,0.00006104
-1.45887866,0.00006104
-1.45855866,0.00006104
-1.45823866,-0.01770074
-1.45791866,0.00006104
-1.45759866,0.00006104
-1.45727866,0.00006104
-1.45695866,0.01788385
-1.45663866,0.00006104
-1.45631866,0.00006104
-1.45599866,0.00006104
-1.45567866,0.00006104
-1.45535866,0.00006104
-1.45503866,0.01788385
-1.45471866,0.00006104
-1.45439866,0.01788385
-1.45407866,0.01788385
-1.45375866,0.00006104
-1.45343866,0.00006104
-1.45311866,0.00006104
-1.45279866,0.00006104
-1.45247866,0.00006104
-1.45215866,0.00006104
-1.45183866,0.00006104
-1.45151866,0.00006104
-1.45119866,0.00006104
-1.45087866,0.00006104
-1.45055866,0.00006104
-1.45023866,0.00006104
-1.44991866,0.00006104
-1.44959866,0.00006104
-1.44927866,0.00006104
-1.44895866,0.01788385
-1.44863866,0.01788385
-1.44831866,0.01788385
-1.44799866,0.00006104
-1.44767866,0.00006104
-1.44735866,0.00006104
-1.44703866,0.00006104
-1.44671866,0.00006104
-1.44639866,0.00006104
-1.44607866,0.00006104
-1.44575866,0.00006104
-1.44543866,0.00006104
-1.44511866,0.00006104
-1.44479866,0.00006104
-1.44447866,0.00006104
-1.44415866,-0.01770074
-1.44383866,0.00006104
-1.44351866,0.00006104
