sample,time_raw,adc,mv
0,-19999,2033,31
1,0,2033,31
2,20000,2033,31
3,40000,2033,31
4,60000,1744,26
5,80000,2033,31
6,100000,1744,26
7,120000,2033,31
8,140000,1744,26
9,160000,1744,26
10,180000,2033,31
11,200000,2033,31
12,220000,2033,31
13,240000,1744,26
14,260000,1744,26
15,280000,2033,31
16,300000,2033,31
17,320000,2033,31
18,340000,2033,31
19,360000,1744,26
20,380000,2033,31
21,400000,2033,31
22,420000,2033,31
23,440000,1744,26
24,460000,2033,31
25,480000,1744,26
26,500000,2033,31
27,520000,2033,31
28,540000,2033,31
29,560000,2033,31
30,580000,2033,31
31,600000,2033,31
32,620000,2033,31
33,640000,2033,31
34,660000,2033,31
35,680000,2033,31
36,700000,2033,31
37,720000,2033,31
38,740000,2033,31
39,760000,2033,31
40,780000,2033,31
41,800000,2033,31
42,820000,2033,31
43,840000,2033,31
44,860000,2033,31
45,880000,2033,31
46,900000,2033,31
47,920000,2033,31
48,940000,1744,26
49,960000,2033,31
50,980000,2033,31
51,1000000,2033,31
52,1020000,2033,31
53,1040000,1744,26
54,1060000,1744,26
55,1080000,1744,26
56,1100000,2033,31
57,1120000,1744,26
58,1140000,1744,26
59,1160000,1744,26
60,1180000,1744,26
61,1200000,1744,26
62,1220000,1744,26
63,1240000,1744,26
64,1260000,1744,26
65,1280000,1744,26
66,1300000,1744,26
67,1320000,1744,26
68,1340000,1744,26
69,1360000,1744,26
70,1380000,1744,26
71,1400000,1744,26
72,1420000,1744,26
73,1440000,1744,26
74,1460000,1744,26
75,1480000,1744,26
76,1500000,1744,26
77,1520000,1744,26
78,1540000,1744,26
79,1560000,1744,26
80,1580000,1744,26
81,1600000,1744,26
82,1620000,1744,26
83,1640000,1744,26
84,1660000,1744,26
85,1680000,1744,26
86,1700000,1744,26
87,1720000,1744,26
88,1740000,1744,26
89,1760000,1744,26
90,1780000,1744,26
91,1800000,1744,26
92,1820000,1744,26
93,1840000,1744,26
94,1860000,1744,26
95,1880000,1744,26
96,1900000,1744,26
97,1920000,1744,26
98,1940000,1744,26
99,1960000,1744,26
100,1980000,1744,26
101,2000000,1744,26
102,2020000,1455,22
103,2040000,1744,26
104,2060000,1744,26
105,2080000,1744,26
106,2100000,1455,22
107,2120000,1744,26
108,2140000,1744,26
109,2160000,1744,26
110,2180000,1744,26
111,2200000,1744,26
112,2220000,1744,26
113,2240000,1744,26
114,2260000,1744,26
115,2280000,1744,26
116,2300000,1744,26
117,2320000,1744,26
118,2340000,1744,26
119,2360000,1744,26
120,2380000,1744,26
121,2400000,1744,26
122,2420000,1744,26
123,2440000,1744,26
124,2460000,1744,26
125,2480000,1744,26
126,2500000,1744,26
127,2520000,1744,26
128,2540000,1744,26
129,2560000,1744,26
130,2580000,1744,26
131,2600000,1744,26
132,2620000,1744,26
133,2640000,1744,26
134,2660000,1744,26
135,2680000,1455,22
136,2700000,1455,22
137,2720000,1744,26
138,2740000,1744,26
139,2760000,1744,26
140,2780000,1455,22
141,2800000,1744,26
142,2820000,1455,22
143,2840000,1744,26
144,2860000,1744,26
145,2880000,1455,22
146,2900000,1455,22
147,2920000,1455,22
148,2940000,1455,22
149,2960000,1744,26
150,2980000,1455,22
151,3000000,1744,26
152,3020000,1455,22
153,3040000,1455,22
154,3060000,1455,22
155,3080000,1455,22
156,3100000,1455,22
157,3120000,1455,22
158,3140000,1455,22
159,3160000,1455,22
160,3180000,1455,22
161,3200000,1455,22
162,3220000,1455,22
163,3240000,1455,22
164,3260000,1455,22
165,3280000,1455,22
166,3300000,1455,22
167,3320000,1455,22
168,3340000,1455,22
169,3360000,1455,22
170,3380000,1455,22
171,3400000,1744,26
172,3420000,1455,22
173,3440000,1455,22
174,3460000,1455,22
175,3480000,1455,22
176,3500000,1455,22
177,3520000,1455,22
178,3540000,1455,22
179,3560000,1455,22
180,3580000,1455,22
181,3600000,1455,22
182,3620000,1455,22
183,3640000,1455,22
184,3660000,1455,22
185,3680000,1455,22
186,3700000,1455,22
187,3720000,1455,22
188,3740000,1166,17
189,3760000,1166,17
190,3780000,1166,17
191,3800000,1166,17
192,3820000,1166,17
193,3840000,1455,22
194,3860000,1455,22
195,3880000,1455,22
196,3900000,1166,17
197,3920000,1455,22
198,3940000,1455,22
199,3960000,1166,17
200,3980000,1455,22
201,4000000,1455,22
202,4020000,1166,17
203,4040000,1166,17
204,4060000,1166,17
205,4080000,1166,17
206,4100000,1166,17
207,4120000,1166,17
208,4140000,1166,17
209,4160000,1166,17
210,4180000,1166,17
211,4200000,1166,17
212,4220000,1166,17
213,4240000,1166,17
214,4260000,1166,17
215,4280000,1166,17
216,4300000,1166,17
217,4320000,1166,17
218,4340000,1455,22
219,4360000,1166,17
220,4380000,1166,17
221,4400000,1166,17
222,4420000,1166,17
223,4440000,1166,17
224,4460000,1166,17
225,4480000,1166,17
226,4500000,877,13
227,4520000,1166,17
228,4540000,1166,17
229,4560000,877,13
230,4580000,1166,17
231,4600000,877,13
232,4620000,877,13
233,4640000,877,13
234,4660000,877,13
235,4680000,877,13
236,4700000,877,13
237,4720000,877,13
238,4740000,877,13
239,4760000,877,13
240,4780000,877,13
241,4800000,877,13
242,4820000,877,13
243,4840000,877,13
244,4860000,877,13
245,4880000,1166,17
246,4900000,877,13
247,4920000,877,13
248,4940000,877,13
249,4960000,877,13
250,4980000,877,13
251,5000000,877,13
252,5020000,877,13
253,5040000,877,13
254,5060000,877,13
255,5080000,877,13
256,5100000,877,13
257,5120000,877,13
258,5140000,877,13
259,5160000,877,13
260,5180000,877,13
261,5200000,877,13
262,5220000,588,8
263,5240000,877,13
264,5260000,877,13
265,5280000,877,13
266,5300000,588,8
267,5320000,588,8
268,5340000,877,13
269,5360000,877,13
270,5380000,877,13
271,5400000,588,8
272,5420000,588,8
273,5440000,877,13
274,5460000,877,13
275,5480000,877,13
276,5500000,588,8
277,5520000,877,13
278,5540000,588,8
279,5560000,877,13
280,5580000,877,13
281,5600000,877,13
282,5620000,588,8
283,5640000,877,13
284,5660000,877,13
285,5680000,877,13
286,5700000,588,8
287,5720000,588,8
288,5740000,877,13
289,5760000,877,13
290,5780000,877,13
291,5800000,877,13
292,5820000,588,8
293,5840000,877,13
294,5860000,588,8
295,5880000,877,13
296,5900000,877,13
297,5920000,877,13
298,5940000,877,13
299,5960000,877,13
300,5980000,877,13
301,6000000,877,13
302,6020000,877,13
303,6040000,877,13
304,6060000,877,13
305,6080000,877,13
306,6100000,877,13
307,6120000,877,13
308,6140000,877,13
309,6160000,877,13
310,6180000,877,13
311,6200000,877,13
312,6220000,877,13
313,6240000,877,13
314,6260000,588,8
315,6280000,588,8
316,6300000,588,8
317,6320000,588,8
318,6340000,877,13
319,6360000,877,13
320,6380000,588,8
321,6400000,588,8
322,6420000,588,8
323,6440000,588,8
324,6460000,877,13
325,6480000,588,8
326,6500000,877,13
327,6520000,877,13
328,6540000,588,8
329,6560000,877,13
330,6580000,877,13
331,6600000,877,13
332,6620000,588,8
333,6640000,877,13
334,6660000,588,8
335,6680000,877,13
336,6700000,877,13
337,6720000,877,13
338,6740000,877,13
339,6760000,877,13
340,6780000,877,13
341,6800000,877,13
342,6820000,877,13
343,6840000,877,13
344,6860000,588,8
345,6880000,588,8
346,6900000,588,8
347,6920000,877,13
348,6940000,588,8
349,6960000,588,8
350,6980000,588,8
351,7000000,877,13
352,7020000,877,13
353,7040000,877,13
354,7060000,588,8
355,7080000,588,8
356,7100000,877,13
357,7120000,588,8
358,7140000,877,13
359,7160000,588,8
360,7180000,588,8
361,7200000,588,8
362,7220000,588,8
363,7240000,877,13
364,7260000,877,13
365,7280000,588,8
366,7300000,588,8
367,7320000,588,8
368,7340000,588,8
369,7360000,588,8
370,7380000,588,8
371,7400000,588,8
372,7420000,588,8
373,7440000,588,8
374,7460000,588,8
375,7480000,588,8
376,7500000,588,8
377,7520000,588,8
378,7540000,588,8
379,7560000,588,8
380,7580000,588,8
381,7600000,588,8
382,7620000,588,8
383,7640000,588,8
384,7660000,588,8
385,7680000,877,13
386,7700000,588,8
387,7720000,588,8
388,7740000,588,8
389,7760000,588,8
390,7780000,588,8
391,7800000,588,8
392,7820000,877,13
393,7840000,588,8
394,7860000,588,8
395,7880000,588,8
396,7900000,588,8
397,7920000,588,8
398,7940000,588,8
399,7960000,588,8
400,7980000,877,13
401,8000000,588,8
402,8020000,588,8
403,8040000,588,8
404,8060000,877,13
405,8080000,877,13
406,8100000,877,13
407,8120000,588,8
408,8140000,588,8
409,8160000,588,8
410,8180000,588,8
411,8200000,588,8
412,8220000,588,8
413,8240000,588,8
414,8260000,588,8
415,8280000,588,8
416,8300000,588,8
417,8320000,588,8
418,8340000,588,8
419,8360000,588,8
420,8380000,588,8
421,8400000,588,8
422,8420000,588,8
423,8440000,588,8
424,8460000,588,8
425,8480000,588,8
426,8500000,588,8
427,8520000,588,8
428,8540000,588,8
429,8560000,588,8
430,8580000,588,8
431,8600000,588,8
432,8620000,588,8
433,8640000,588,8
434,8660000,588,8
435,8680000,877,13
436,8700000,588,8
437,8720000,588,8
438,8740000,588,8
439,8760000,588,8
440,8780000,588,8
441,8800000,877,13
442,8820000,588,8
443,8840000,588,8
444,8860000,588,8
445,8880000,588,8
446,8900000,588,8
447,8920000,588,8
448,8940000,588,8
449,8960000,588,8
450,8980000,588,8
451,9000000,877,13
452,9020000,588,8
453,9040000,588,8
454,9060000,877,13
455,9080000,588,8
456,9100000,588,8
457,9120000,588,8
458,9140000,588,8
459,9160000,877,13
460,9180000,588,8
461,9200000,877,13
462,9220000,588,8
463,9240000,877,13
464,9260000,588,8
465,9280000,877,13
466,9300000,877,13
467,9320000,588,8
468,9340000,588,8
469,9360000,588,8
470,9380000,877,13
471,9400000,588,8
472,9420000,877,13
473,9440000,588,8
474,9460000,588,8
475,9480000,588,8
476,9500000,877,13
477,9520000,588,8
478,9540000,588,8
479,9560000,588,8
480,9580000,588,8
481,9600000,588,8
482,9620000,588,8
483,9640000,588,8
484,9660000,588,8
485,9680000,588,8
486,9700000,588,8
487,9720000,588,8
488,9740000,588,8
489,9760000,588,8
490,9780000,588,8
491,9800000,588,8
492,9820000,588,8
493,9840000,588,8
494,9860000,588,8
495,9880000,588,8
496,9900000,588,8
497,9920000,588,8
498,9940000,588,8
499,9960000,588,8
500,9980000,588,8
501,10000000,588,8
502,10020000,588,8
503,10040000,588,8
504,10060000,588,8
505,10080000,588,8
506,10100000,588,8
507,10120000,588,8
508,10140000,588,8
509,10160000,588,8
510,10180000,588,8
511,10200000,588,8
512,10220000,588,8
513,10240000,588,8
514,10260000,588,8
515,10280000,588,8
516,10300000,588,8
517,10320000,588,8
518,10340000,588,8
519,10360000,588,8
520,10380000,588,8
521,10400000,588,8
522,10420000,588,8
