sample,time_raw,adc,mv
0,-19999,-11553,-176
1,0,-11263,-171
2,20000,-11553,-176
3,40000,-11553,-176
4,60000,-11553,-176
5,80000,-11263,-171
6,100000,-10974,-167
7,120000,-10974,-167
8,140000,-10974,-167
9,160000,-10974,-167
10,180000,-10974,-167
11,200000,-11263,-171
12,220000,-11553,-176
13,240000,-11553,-176
14,260000,-11553,-176
15,280000,-11553,-176
16,300000,-11553,-176
17,320000,-11553,-176
18,340000,-11553,-176
19,360000,-11263,-171
20,380000,-11263,-171
21,400000,-11553,-176
22,420000,-11263,-171
23,440000,-11263,-171
24,460000,-11263,-171
25,480000,-11263,-171
26,500000,-11263,-171
27,520000,-11263,-171
28,540000,-11263,-171
29,560000,-11263,-171
30,580000,-11263,-171
31,600000,-10974,-167
32,620000,-10685,-163
33,640000,-10685,-163
34,660000,-10396,-158
35,680000,-10107,-154
36,700000,-10107,-154
37,720000,-9818,-149
38,740000,-9818,-149
39,760000,-9529,-145
40,780000,-9818,-149
41,800000,-9240,-140
42,820000,-9240,-140
43,840000,-8951,-136
44,860000,-8951,-136
45,880000,-8662,-132
46,900000,-8951,-136
47,920000,-8662,-132
48,940000,-8662,-132
49,960000,-8373,-127
50,980000,-8084,-123
51,1000000,-8084,-123
52,1020000,-8084,-123
53,1040000,-8084,-123
54,1060000,-8084,-123
55,1080000,-8084,-123
56,1100000,-8084,-123
57,1120000,-8084,-123
58,1140000,-8084,-123
59,1160000,-8084,-123
60,1180000,-7795,-118
61,1200000,-7795,-118
62,1220000,-7795,-118
63,1240000,-7795,-118
64,1260000,-7506,-114
65,1280000,-7506,-114
66,1300000,-7795,-118
67,1320000,-7506,-114
68,1340000,-7506,-114
69,1360000,-7506,-114
70,1380000,-7506,-114
71,1400000,-7506,-114
72,1420000,-7506,-114
73,1440000,-7506,-114
74,1460000,-7506,-114
75,1480000,-6928,-105
76,1500000,-6928,-105
77,1520000,-6928,-105
78,1540000,-6928,-105
79,1560000,-6638,-101
80,1580000,-6928,-105
81,1600000,-6928,-105
82,1620000,-6928,-105
83,1640000,-6928,-105
84,1660000,-6638,-101
85,1680000,-6638,-101
86,1700000,-6638,-101
87,1720000,-6349,-96
88,1740000,-6349,-96
89,1760000,-6349,-96
90,1780000,-6349,-96
91,1800000,-6060,-92
92,1820000,-6060,-92
93,1840000,-6060,-92
94,1860000,-6060,-92
95,1880000,-6060,-92
96,1900000,-6060,-92
97,1920000,-6060,-92
98,1940000,-5771,-88
99,1960000,-5771,-88
100,1980000,-5771,-88
101,2000000,-5771,-88
102,2020000,-5771,-88
103,2040000,-5482,-83
104,2060000,-5482,-83
105,2080000,-5482,-83
106,2100000,-5482,-83
107,2120000,-5482,-83
108,2140000,-5482,-83
109,2160000,-5482,-83
110,2180000,-5193,-79
111,2200000,-5193,-79
112,2220000,-5482,-83
113,2240000,-5193,-79
114,2260000,-5193,-79
115,2280000,-5193,-79
116,2300000,-5193,-79
117,2320000,-4904,-74
118,2340000,-4904,-74
119,2360000,-4904,-74
120,2380000,-4904,-74
121,2400000,-4904,-74
122,2420000,-4904,-74
123,2440000,-4904,-74
124,2460000,-4615,-70
125,2480000,-4615,-70
126,2500000,-4615,-70
127,2520000,-4615,-70
128,2540000,-4615,-70
129,2560000,-4615,-70
130,2580000,-4326,-66
131,2600000,-4615,-70
132,2620000,-4615,-70
133,2640000,-4326,-66
134,2660000,-4326,-66
135,2680000,-4326,-66
136,2700000,-4326,-66
137,2720000,-4326,-66
138,2740000,-4326,-66
139,2760000,-4615,-70
140,2780000,-4326,-66
141,2800000,-4326,-66
142,2820000,-4326,-66
143,2840000,-4326,-66
144,2860000,-4326,-66
145,2880000,-4326,-66
146,2900000,-4326,-66
147,2920000,-4326,-66
148,2940000,-4615,-70
149,2960000,-4615,-70
150,2980000,-4326,-66
151,3000000,-4326,-66
152,3020000,-4615,-70
153,3040000,-4615,-70
154,3060000,-4615,-70
155,3080000,-4615,-70
156,3100000,-4615,-70
157,3120000,-4615,-70
158,3140000,-4615,-70
159,3160000,-4615,-70
160,3180000,-4615,-70
161,3200000,-4615,-70
162,3220000,-4615,-70
163,3240000,-4615,-70
164,3260000,-4615,-70
165,3280000,-4615,-70
166,3300000,-4615,-70
167,3320000,-4615,-70
168,3340000,-4615,-70
169,3360000,-4615,-70
170,3380000,-4615,-70
171,3400000,-4615,-70
172,3420000,-4615,-70
173,3440000,-4615,-70
174,3460000,-4615,-70
175,3480000,-4615,-70
176,3500000,-4615,-70
177,3520000,-4615,-70
178,3540000,-4615,-70
179,3560000,-4615,-70
180,3580000,-4615,-70
181,3600000,-4615,-70
182,3620000,-4615,-70
183,3640000,-4615,-70
184,3660000,-4615,-70
185,3680000,-4615,-70
186,3700000,-4615,-70
187,3720000,-4615,-70
188,3740000,-4615,-70
189,3760000,-4615,-70
190,3780000,-4615,-70
191,3800000,-4326,-66
192,3820000,-4615,-70
193,3840000,-4615,-70
194,3860000,-4615,-70
195,3880000,-4615,-70
196,3900000,-4615,-70
197,3920000,-4326,-66
198,3940000,-4326,-66
199,3960000,-4326,-66
200,3980000,-4615,-70
201,4000000,-4326,-66
202,4020000,-4326,-66
203,4040000,-4615,-70
204,4060000,-4326,-66
205,4080000,-4326,-66
206,4100000,-4326,-66
207,4120000,-4326,-66
208,4140000,-4326,-66
209,4160000,-4326,-66
210,4180000,-4326,-66
211,4200000,-4037,-61
212,4220000,-4326,-66
213,4240000,-4037,-61
214,4260000,-4326,-66
215,4280000,-4037,-61
216,4300000,-4037,-61
217,4320000,-4037,-61
218,4340000,-4037,-61
219,4360000,-4037,-61
220,4380000,-4037,-61
221,4400000,-4037,-61
222,4420000,-4037,-61
223,4440000,-4037,-61
224,4460000,-4037,-61
225,4480000,-4037,-61
226,4500000,-3748,-57
227,4520000,-4037,-61
228,4540000,-3748,-57
229,4560000,-3748,-57
230,4580000,-3459,-52
231,4600000,-3748,-57
232,4620000,-3748,-57
233,4640000,-3459,-52
234,4660000,-3459,-52
235,4680000,-3459,-52
236,4700000,-3459,-52
237,4720000,-3459,-52
238,4740000,-3459,-52
239,4760000,-3459,-52
240,4780000,-3459,-52
