sample,time_raw,adc,mv
0,-19999,2033,31
1,0,1744,26
2,20000,1744,26
3,40000,1166,17
4,60000,1166,17
5,80000,877,13
6,100000,588,8
7,120000,10,0
8,140000,-279,-4
9,160000,-568,-8
10,180000,-1146,-17
11,200000,-1724,-26
12,220000,-2303,-35
13,240000,-2303,-35
14,260000,-2592,-39
15,280000,-2881,-43
16,300000,-2881,-43
17,320000,-3170,-48
18,340000,-2881,-43
19,360000,-3170,-48
20,380000,-2881,-43
21,400000,-2881,-43
22,420000,-2592,-39
23,440000,-2592,-39
24,460000,-2303,-35
25,480000,-2013,-30
26,500000,-1724,-26
27,520000,-1435,-21
28,540000,-1146,-17
29,560000,-568,-8
30,580000,10,0
31,600000,588,8
32,620000,1166,17
33,640000,1455,22
34,660000,2033,31
35,680000,2322,35
36,700000,2611,39
37,720000,2900,44
38,740000,3189,48
39,760000,3478,53
40,780000,3478,53
41,800000,3189,48
42,820000,2900,44
43,840000,2900,44
44,860000,2900,44
45,880000,2611,39
46,900000,2322,35
47,920000,2322,35
48,940000,2033,31
49,960000,1744,26
50,980000,1166,17
51,1000000,877,13
52,1020000,588,8
53,1040000,299,4
54,1060000,10,0
55,1080000,-568,-8
56,1100000,-1146,-17
57,1120000,-1435,-21
58,1140000,-1724,-26
59,1160000,-1724,-26
60,1180000,-1724,-26
61,1200000,-2013,-30
62,1220000,-2013,-30
63,1240000,-2013,-30
64,1260000,-2013,-30
65,1280000,-2013,-30
66,1300000,-2013,-30
67,1320000,-2013,-30
68,1340000,-1724,-26
69,1360000,-1724,-26
70,1380000,-1724,-26
71,1400000,-1435,-21
72,1420000,-1146,-17
73,1440000,-1146,-17
74,1460000,-857,-13
75,1480000,-857,-13
76,1500000,-568,-8
77,1520000,-279,-4
78,1540000,10,0
79,1560000,10,0
80,1580000,10,0
81,1600000,299,4
82,1620000,299,4
83,1640000,299,4
84,1660000,299,4
85,1680000,299,4
86,1700000,299,4
87,1720000,588,8
88,1740000,299,4
89,1760000,299,4
90,1780000,299,4
91,1800000,299,4
92,1820000,299,4
93,1840000,588,8
94,1860000,299,4
95,1880000,299,4
96,1900000,299,4
97,1920000,299,4
98,1940000,299,4
99,1960000,299,4
100,1980000,299,4
101,2000000,299,4
102,2020000,299,4
103,2040000,299,4
104,2060000,588,8
105,2080000,588,8
106,2100000,299,4
107,2120000,588,8
108,2140000,588,8
109,2160000,588,8
110,2180000,299,4
111,2200000,299,4
112,2220000,588,8
113,2240000,299,4
114,2260000,299,4
115,2280000,299,4
116,2300000,299,4
117,2320000,299,4
118,2340000,588,8
119,2360000,299,4
120,2380000,299,4
121,2400000,299,4
122,2420000,10,0
123,2440000,10,0
124,2460000,10,0
125,2480000,10,0
126,2500000,10,0
127,2520000,10,0
128,2540000,-279,-4
129,2560000,-279,-4
130,2580000,-279,-4
131,2600000,10,0
132,2620000,10,0
133,2640000,-279,-4
134,2660000,10,0
135,2680000,-279,-4
136,2700000,10,0
137,2720000,-279,-4
138,2740000,-279,-4
139,2760000,-279,-4
140,2780000,-279,-4
141,2800000,-279,-4
142,2820000,-279,-4
143,2840000,-279,-4
144,2860000,-279,-4
145,2880000,-279,-4
146,2900000,-279,-4
147,2920000,-279,-4
148,2940000,-279,-4
149,2960000,-279,-4
150,2980000,-279,-4
151,3000000,-279,-4
152,3020000,-279,-4
153,3040000,-279,-4
154,3060000,-279,-4
155,3080000,-568,-8
156,3100000,-279,-4
157,3120000,-279,-4
158,3140000,-279,-4
159,3160000,-279,-4
160,3180000,10,0
161,3200000,-279,-4
162,3220000,10,0
163,3240000,10,0
164,3260000,10,0
165,3280000,10,0
166,3300000,10,0
167,3320000,10,0
168,3340000,10,0
169,3360000,10,0
170,3380000,10,0
171,3400000,10,0
172,3420000,299,4
173,3440000,10,0
174,3460000,299,4
175,3480000,299,4
176,3500000,299,4
177,3520000,299,4
178,3540000,299,4
179,3560000,299,4
180,3580000,299,4
181,3600000,299,4
182,3620000,10,0
183,3640000,299,4
184,3660000,299,4
185,3680000,299,4
186,3700000,299,4
187,3720000,299,4
188,3740000,299,4
189,3760000,299,4
190,3780000,299,4
191,3800000,299,4
192,3820000,10,0
193,3840000,299,4
194,3860000,10,0
195,3880000,10,0
196,3900000,10,0
197,3920000,10,0
198,3940000,10,0
199,3960000,10,0
200,3980000,10,0
201,4000000,10,0
202,4020000,10,0
203,4040000,-279,-4
204,4060000,10,0
205,4080000,10,0
206,4100000,-279,-4
207,4120000,-279,-4
208,4140000,10,0
209,4160000,10,0
210,4180000,10,0
211,4200000,10,0
212,4220000,10,0
213,4240000,-279,-4
214,4260000,10,0
215,4280000,10,0
216,4300000,10,0
217,4320000,10,0
218,4340000,10,0
219,4360000,-279,-4
220,4380000,10,0
221,4400000,-568,-8
222,4420000,-279,-4
223,4440000,-279,-4
224,4460000,-279,-4
225,4480000,-279,-4
226,4500000,-279,-4
227,4520000,-279,-4
228,4540000,10,0
229,4560000,-279,-4
230,4580000,-279,-4
231,4600000,10,0
232,4620000,-279,-4
233,4640000,10,0
234,4660000,10,0
235,4680000,10,0
236,4700000,10,0
237,4720000,10,0
238,4740000,10,0
239,4760000,10,0
240,4780000,10,0
241,4800000,10,0
242,4820000,10,0
243,4840000,10,0
244,4860000,10,0
245,4880000,10,0
246,4900000,10,0
247,4920000,-279,-4
248,4940000,10,0
249,4960000,10,0
250,4980000,10,0
251,5000000,10,0
252,5020000,10,0
253,5040000,10,0
254,5060000,10,0
255,5080000,10,0
256,5100000,10,0
257,5120000,10,0
258,5140000,10,0
259,5160000,10,0
260,5180000,10,0
261,5200000,10,0
262,5220000,10,0
263,5240000,10,0
264,5260000,10,0
265,5280000,299,4
266,5300000,299,4
267,5320000,299,4
268,5340000,299,4
269,5360000,299,4
270,5380000,299,4
271,5400000,299,4
272,5420000,10,0
273,5440000,299,4
274,5460000,299,4
275,5480000,10,0
276,5500000,10,0
277,5520000,10,0
278,5540000,10,0
279,5560000,10,0
280,5580000,10,0
281,5600000,10,0
282,5620000,10,0
283,5640000,10,0
284,5660000,10,0
285,5680000,10,0
286,5700000,10,0
287,5720000,10,0
288,5740000,10,0
289,5760000,10,0
290,5780000,10,0
291,5800000,-279,-4
292,5820000,-279,-4
293,5840000,-279,-4
294,5860000,10,0
295,5880000,-279,-4
296,5900000,-279,-4
297,5920000,-279,-4
298,5940000,10,0
299,5960000,10,0
300,5980000,-279,-4
301,6000000,10,0
302,6020000,10,0
303,6040000,10,0
304,6060000,10,0
305,6080000,10,0
306,6100000,10,0
307,6120000,-279,-4
308,6140000,10,0
309,6160000,10,0
310,6180000,10,0
311,6200000,10,0
312,6220000,10,0
313,6240000,10,0
314,6260000,10,0
315,6280000,10,0
316,6300000,10,0
317,6320000,10,0
318,6340000,10,0
319,6360000,10,0
320,6380000,10,0
321,6400000,10,0
322,6420000,10,0
323,6440000,10,0
324,6460000,10,0
325,6480000,10,0
326,6500000,10,0
327,6520000,10,0
328,6540000,10,0
329,6560000,10,0
330,6580000,10,0
331,6600000,299,4
332,6620000,299,4
333,6640000,10,0
334,6660000,299,4
335,6680000,299,4
336,6700000,10,0
337,6720000,299,4
338,6740000,299,4
339,6760000,299,4
340,6780000,299,4
341,6800000,299,4
342,6820000,10,0
343,6840000,10,0
344,6860000,299,4
345,6880000,10,0
346,6900000,10,0
347,6920000,10,0
348,6940000,10,0
349,6960000,10,0
350,6980000,10,0
351,7000000,10,0
352,7020000,10,0
353,7040000,10,0
354,7060000,10,0
355,7080000,10,0
356,7100000,10,0
357,7120000,10,0
358,7140000,10,0
359,7160000,10,0
360,7180000,10,0
361,7200000,10,0
362,7220000,10,0
363,7240000,10,0
364,7260000,10,0
365,7280000,-279,-4
366,7300000,-279,-4
367,7320000,10,0
368,7340000,10,0
369,7360000,10,0
370,7380000,-279,-4
371,7400000,10,0
372,7420000,-279,-4
373,7440000,10,0
374,7460000,10,0
375,7480000,-279,-4
376,7500000,10,0
377,7520000,10,0
378,7540000,10,0
379,7560000,10,0
380,7580000,10,0
381,7600000,10,0
382,7620000,10,0
383,7640000,10,0
384,7660000,10,0
385,7680000,10,0
386,7700000,10,0
387,7720000,10,0
388,7740000,10,0
389,7760000,299,4
390,7780000,10,0
391,7800000,10,0
392,7820000,299,4
393,7840000,10,0
394,7860000,10,0
395,7880000,10,0
396,7900000,10,0
397,7920000,10,0
398,7940000,10,0
399,7960000,10,0
400,7980000,10,0
401,8000000,10,0
402,8020000,10,0
403,8040000,10,0
404,8060000,10,0
405,8080000,299,4
406,8100000,10,0
407,8120000,10,0
408,8140000,10,0
409,8160000,10,0
410,8180000,10,0
411,8200000,10,0
412,8220000,10,0
413,8240000,10,0
414,8260000,299,4
415,8280000,10,0
416,8300000,10,0
417,8320000,10,0
418,8340000,10,0
419,8360000,10,0
420,8380000,10,0
421,8400000,10,0
422,8420000,10,0
423,8440000,10,0
424,8460000,10,0
425,8480000,10,0
426,8500000,10,0
427,8520000,10,0
428,8540000,10,0
429,8560000,10,0
430,8580000,10,0
431,8600000,10,0
432,8620000,10,0
433,8640000,10,0
434,8660000,10,0
435,8680000,10,0
436,8700000,10,0
437,8720000,-279,-4
438,8740000,10,0
439,8760000,-279,-4
440,8780000,10,0
441,8800000,10,0
442,8820000,10,0
443,8840000,10,0
444,8860000,10,0
445,8880000,10,0
446,8900000,-279,-4
447,8920000,10,0
448,8940000,10,0
449,8960000,10,0
450,8980000,-279,-4
451,9000000,10,0
452,9020000,10,0
453,9040000,10,0
454,9060000,10,0
455,9080000,10,0
456,9100000,10,0
457,9120000,10,0
458,9140000,10,0
459,9160000,10,0
460,9180000,10,0
461,9200000,10,0
462,9220000,10,0
463,9240000,10,0
464,9260000,10,0
465,9280000,299,4
466,9300000,10,0
467,9320000,10,0
468,9340000,299,4
469,9360000,10,0
470,9380000,10,0
471,9400000,10,0
472,9420000,299,4
473,9440000,10,0
474,9460000,299,4
475,9480000,10,0
476,9500000,10,0
477,9520000,299,4
478,9540000,10,0
479,9560000,10,0
480,9580000,10,0
481,9600000,299,4
482,9620000,10,0
483,9640000,299,4
484,9660000,10,0
485,9680000,10,0
486,9700000,10,0
487,9720000,10,0
488,9740000,10,0
489,9760000,10,0
490,9780000,10,0
491,9800000,10,0
492,9820000,10,0
493,9840000,10,0
494,9860000,10,0
495,9880000,-279,-4
496,9900000,10,0
497,9920000,-279,-4
498,9940000,10,0
499,9960000,-279,-4
500,9980000,-279,-4
501,10000000,-279,-4
502,10020000,-279,-4
503,10040000,-279,-4
504,10060000,-279,-4
505,10080000,-279,-4
506,10100000,-279,-4
507,10120000,-279,-4
508,10140000,-279,-4
509,10160000,-279,-4
510,10180000,-279,-4
511,10200000,-279,-4
512,10220000,-279,-4
513,10240000,-279,-4
514,10260000,-279,-4
515,10280000,10,0
516,10300000,10,0
517,10320000,10,0
